id_amat;nome;linee;LONG_X_4326;LAT_Y_4326;Location
987;BUONARROTI;1;9.15529230789659;45.4704020010331;"(45.4704020010331, 9.15529230789659)"
988;BRENTA;3;9.2184814078674;45.442810701031;"(45.442810701031, 9.2184814078674)"
989;BONOLA;1;9.11014780791837;45.4970026010339;"(45.4970026010339, 9.11014780791837)"
990;BISCEGLIE;1;9.11292550791171;45.4553804010375;"(45.4553804010375, 9.11292550791171)"
991;BIGNAMI;5;9.21218050788111;45.5267842010239;"(45.5267842010239, 9.21218050788111)"
992;BICOCCA;5;9.20536990788226;45.5147339010255;"(45.5147339010255, 9.20536990788226)"
993;BANDE NERE;1;9.136484507903;45.4615040010352;"(45.4615040010352, 9.136484507903)"
994;ASSAGO MILANOFIORI NORD;2;9.15004630789062;45.409454501039;"(45.409454501039, 9.15004630789062)"
995;ASSAGO MILANOFIORI FORUM;2;9.14553880789141;45.40174850104;"(45.40174850104, 9.14553880789141)"
996;AMENDOLA;1;9.15096930789877;45.4736789010331;"(45.4736789010331, 9.15096930789877)"
997;AFFORI FN;3;9.16825160789818;45.5216818010275;"(45.5216818010275, 9.16825160789818)"
998;AFFORI CENTRO;3;9.17397990789478;45.5135543010278;"(45.5135543010278, 9.17397990789478)"
999;ABBIATEGRASSO;2;9.17732280788232;45.4299949010351;"(45.4299949010351, 9.17732280788232)"
